humidity,temperature,timestamp
78.2,16.0,2014-09-29T22:32:29.129Z
78.7,16.0,2014-09-29T22:32:16.793Z
78.6,15.9,2014-09-29T22:32:06.993Z
78.6,16.0,2014-09-29T22:31:57.211Z
78.5,16.0,2014-09-29T22:31:47.400Z
78.4,16.0,2014-09-29T22:31:37.611Z
78.5,16.0,2014-09-29T22:31:27.729Z
78.5,16.0,2014-09-29T22:31:16.977Z
78.6,16.0,2014-09-29T22:31:07.158Z
78.5,15.9,2014-09-29T22:30:57.324Z
78.7,16.0,2014-09-29T22:30:47.531Z
78.6,15.9,2014-09-29T22:30:37.742Z
78.6,15.9,2014-09-29T22:30:27.914Z
78.6,15.9,2014-09-29T22:30:18.119Z
78.5,15.9,2014-09-29T22:30:08.325Z
78.7,15.9,2014-09-29T22:29:58.518Z
78.7,15.9,2014-09-29T22:29:48.724Z
79.2,15.9,2014-09-29T22:29:38.930Z
79.5,15.9,2014-09-29T22:29:29.146Z
79.8,15.9,2014-09-29T22:29:19.304Z
80.1,16.0,2014-09-29T22:29:09.520Z
79.7,15.9,2014-09-29T22:28:59.719Z
79.4,15.9,2014-09-29T22:28:49.925Z
79.2,15.9,2014-09-29T22:28:37.598Z
79.1,15.9,2014-09-29T22:28:27.799Z
72.5,17.0,2014-09-29T21:22:02.926Z
72.5,17.0,2014-09-29T21:21:53.141Z
72.6,17.0,2014-09-29T21:21:40.836Z
72.8,17.0,2014-09-29T21:21:31.035Z
73.1,17.0,2014-09-29T21:21:13.652Z
72.6,17.0,2014-09-29T21:21:03.465Z
72.3,17.0,2014-09-29T21:20:53.673Z
72.1,17.0,2014-09-29T21:20:43.890Z
72.1,16.9,2014-09-29T21:20:31.577Z
72.0,16.9,2014-09-29T21:20:21.787Z
72.2,16.9,2014-09-29T21:20:11.945Z
71.2,16.9,2014-09-29T21:20:02.087Z
70.5,16.9,2014-09-29T21:19:52.302Z
70.0,17.0,2014-09-29T21:19:42.516Z
69.8,17.0,2014-09-29T21:19:32.710Z
69.7,17.0,2014-09-29T21:19:20.395Z
69.5,17.0,2014-09-29T21:19:10.617Z
69.0,17.0,2014-09-29T21:19:00.831Z
69.0,17.0,2014-09-29T21:18:51.049Z
68.8,17.0,2014-09-29T21:18:38.732Z
68.4,17.0,2014-09-29T21:18:28.944Z
67.9,17.0,2014-09-29T21:18:16.631Z
67.9,17.0,2014-09-29T21:18:06.843Z
68.1,17.0,2014-09-29T21:17:56.995Z
68.8,17.0,2014-09-29T21:17:44.689Z
69.3,17.0,2014-09-29T21:17:34.890Z
69.5,17.0,2014-09-29T21:17:25.105Z
71.1,17.1,2014-09-29T21:17:10.268Z
71.2,17.0,2014-09-29T21:17:00.480Z
71.0,17.0,2014-09-29T21:16:50.697Z
70.7,17.1,2014-09-29T21:16:35.856Z
70.4,17.0,2014-09-29T21:16:26.033Z
69.7,17.0,2014-09-29T21:16:16.234Z
69.5,17.0,2014-09-29T21:16:06.420Z
69.9,17.0,2014-09-29T21:15:56.624Z
70.3,16.9,2014-09-29T21:15:46.841Z
70.5,16.9,2014-09-29T21:15:34.518Z
70.5,16.9,2014-09-29T21:15:24.736Z
70.4,16.8,2014-09-29T21:15:12.430Z
70.8,16.8,2014-09-29T21:15:00.117Z
71.4,16.8,2014-09-29T21:14:47.770Z
71.5,16.7,2014-09-29T21:14:37.967Z
71.3,16.7,2014-09-29T21:14:28.182Z
71.2,16.7,2014-09-29T21:14:18.354Z
71.0,16.7,2014-09-29T21:14:08.532Z
70.7,16.7,2014-09-29T21:13:56.139Z
71.1,16.6,2014-09-29T21:13:41.248Z
71.9,16.6,2014-09-29T21:13:31.437Z
71.0,16.6,2014-09-29T21:13:21.655Z
70.5,16.6,2014-09-29T21:13:11.866Z
70.5,16.7,2014-09-29T21:13:02.081Z
70.5,16.7,2014-09-29T21:12:52.286Z
70.7,16.8,2014-09-29T21:12:42.505Z
70.3,16.9,2014-09-29T21:12:30.196Z
70.8,17.1,2014-09-29T21:12:20.417Z
70.7,17.1,2014-09-29T21:12:10.628Z
71.0,17.2,2014-09-29T21:11:58.320Z
71.7,17.3,2014-09-29T21:11:48.523Z
72.0,17.3,2014-09-29T21:11:38.733Z
71.8,17.3,2014-09-29T21:11:28.926Z
73.0,17.3,2014-09-29T21:11:14.008Z
73.3,17.4,2014-09-29T21:11:01.023Z
73.1,17.4,2014-09-29T21:10:51.221Z
73.0,17.5,2014-09-29T21:10:36.385Z
73.7,17.5,2014-09-29T21:10:26.577Z
73.4,17.5,2014-09-29T21:10:16.790Z
73.3,17.6,2014-09-29T21:10:07.003Z
72.6,17.6,2014-09-29T21:09:54.698Z
72.2,17.5,2014-09-29T21:09:44.917Z
71.9,17.6,2014-09-29T21:09:35.090Z
71.8,17.6,2014-09-29T21:09:22.763Z
71.5,17.6,2014-09-29T21:09:10.429Z
71.3,17.5,2014-09-29T21:08:55.569Z
72.4,17.5,2014-09-29T21:08:45.769Z
73.4,17.5,2014-09-29T21:08:35.979Z
72.6,17.6,2014-09-29T21:08:26.175Z
72.1,17.5,2014-09-29T21:08:16.389Z
71.7,17.5,2014-09-29T21:08:06.606Z
71.7,17.5,2014-09-29T21:07:56.801Z
72.1,17.5,2014-09-29T21:07:44.485Z
72.6,17.6,2014-09-29T21:07:29.607Z
74.2,17.6,2014-09-29T21:07:19.824Z
75.0,17.6,2014-09-29T21:07:07.485Z
74.9,17.6,2014-09-29T21:06:57.700Z
73.8,17.6,2014-09-29T21:06:45.390Z
73.2,17.6,2014-09-29T21:06:35.610Z
72.6,17.7,2014-09-29T21:06:25.818Z
72.2,17.7,2014-09-29T21:06:16.024Z
72.0,17.7,2014-09-29T21:06:03.715Z
72.1,17.8,2014-09-29T21:05:53.929Z
73.0,17.9,2014-09-29T21:05:44.133Z
72.8,17.9,2014-09-29T21:05:29.287Z
73.3,17.9,2014-09-29T21:05:19.475Z
72.9,17.9,2014-09-29T21:05:09.685Z
72.9,17.9,2014-09-29T21:04:59.903Z
72.4,17.9,2014-09-29T21:04:50.120Z
72.2,17.9,2014-09-29T21:04:40.315Z
71.6,17.9,2014-09-29T21:04:25.468Z
71.5,17.9,2014-09-29T21:04:15.684Z
71.8,18.0,2014-09-29T21:04:05.895Z
71.6,18.0,2014-09-29T21:03:56.104Z
72.1,18.1,2014-09-29T21:03:43.754Z
72.0,18.1,2014-09-29T21:03:33.924Z
71.6,18.2,2014-09-29T21:03:24.128Z
71.5,18.1,2014-09-29T21:03:11.805Z
71.1,18.1,2014-09-29T21:03:02.013Z
70.8,18.1,2014-09-29T21:02:52.230Z
70.1,18.1,2014-09-29T21:02:39.899Z
70.5,18.2,2014-09-29T21:02:30.058Z
71.0,18.1,2014-09-29T21:02:20.260Z
70.5,18.1,2014-09-29T21:02:10.454Z
70.3,18.1,2014-09-29T21:02:00.647Z
70.8,18.0,2014-09-29T21:01:48.339Z
70.4,18.0,2014-09-29T21:01:36.028Z
70.7,18.1,2014-09-29T21:01:21.194Z
71.7,18.1,2014-09-29T21:01:08.879Z
71.7,18.1,2014-09-29T21:00:59.096Z
71.3,18.0,2014-09-29T21:00:46.789Z
70.6,18.1,2014-09-29T21:00:37.006Z
71.0,18.0,2014-09-29T21:00:27.216Z
71.2,18.0,2014-09-29T21:00:17.403Z
71.4,18.0,2014-09-29T21:00:05.087Z
72.3,17.9,2014-09-29T20:59:52.769Z
73.1,17.9,2014-09-29T20:59:37.936Z
73.2,17.8,2014-09-29T20:59:28.160Z
73.6,17.7,2014-09-29T20:59:18.373Z
74.0,17.5,2014-09-29T20:59:03.527Z
73.7,17.4,2014-09-29T20:58:53.712Z
73.8,17.4,2014-09-29T20:58:38.877Z
74.0,17.3,2014-09-29T20:58:29.070Z
74.7,17.3,2014-09-29T20:58:19.265Z
74.4,17.2,2014-09-29T20:58:09.460Z
74.6,17.1,2014-09-29T20:57:59.681Z
74.5,17.1,2014-09-29T20:57:49.891Z
74.2,17.2,2014-09-29T20:57:40.102Z
75.0,17.2,2014-09-29T20:57:25.271Z
76.4,17.1,2014-09-29T20:57:15.450Z
75.9,17.1,2014-09-29T20:57:05.641Z
76.1,17.0,2014-09-29T20:56:55.813Z
75.8,17.0,2014-09-29T20:56:46.033Z
76.2,16.9,2014-09-29T20:56:36.250Z
75.6,16.9,2014-09-29T20:56:26.464Z
76.1,16.8,2014-09-29T20:56:14.112Z
76.5,16.7,2014-09-29T20:56:04.290Z
76.7,16.7,2014-09-29T20:55:54.488Z
77.4,16.7,2014-09-29T20:55:44.707Z
76.9,16.6,2014-09-29T20:55:32.402Z
77.3,16.6,2014-09-29T20:55:22.618Z
77.5,16.6,2014-09-29T20:55:12.827Z
77.2,16.5,2014-09-29T20:54:55.468Z
77.3,16.4,2014-09-29T20:54:45.668Z
77.3,16.4,2014-09-29T20:54:33.355Z
77.7,16.4,2014-09-29T20:54:23.569Z
78.5,16.3,2014-09-29T20:54:11.254Z
78.3,16.3,2014-09-29T20:54:01.473Z
78.0,16.2,2014-09-29T20:53:51.687Z
78.0,16.2,2014-09-29T20:53:41.858Z
78.5,16.2,2014-09-29T20:53:32.074Z
79.1,16.1,2014-09-29T20:53:17.240Z
79.3,16.0,2014-09-29T20:53:07.462Z
79.9,16.0,2014-09-29T20:52:57.651Z
79.5,15.9,2014-09-29T20:52:47.869Z
79.7,15.9,2014-09-29T20:52:38.083Z
80.0,15.9,2014-09-29T20:52:28.301Z
80.1,15.8,2014-09-29T20:52:18.504Z
80.5,15.8,2014-09-29T20:52:03.679Z
80.5,15.8,2014-09-29T20:51:53.883Z
80.3,15.7,2014-09-29T20:51:44.086Z
80.0,15.7,2014-09-29T20:51:34.285Z
79.8,15.7,2014-09-29T20:51:24.444Z
80.1,15.7,2014-09-29T20:51:14.661Z
80.6,15.8,2014-09-29T20:51:04.853Z
80.8,15.8,2014-09-29T20:50:52.491Z
80.6,15.8,2014-09-29T20:50:42.665Z
